㔂	lân
㘛	khâm
㤉	gê
㧌	mau
㧎	khê
㧒	hiat
㧣	tu
㧻	tok
㨂	tàng
㨑	tsang
㨨	liû
㨪	hainnh
㨻	tsānn
㴘	bāu
㴙	tsha̍p
㷮	tsau
㽎	sìm
㾀	khiap
䀐	siam
䆀	bái
䈄	ham
䖙	the, thenn
䖳	thē
䘥	kah
䘼	ńg, uínn
䠡	tshê
䢢	tshiāng
䫌	phué, phé, phuí
䲅	kui
一	tsi̍t, it
丁	ting
七	tshit, tshi
丈	tiūnn, tiōng, tn̄g, tiōnn
三	sann, sam, sàm
上	siōng, tsiūnn, siāng, tshiūnn, tshiōnn, sióng, tshiū, tsiōnn
下	ē, hā, e, hē, enn, ēnn
不	put, puh
丑	thiú, thiúnn
且	tshiánn, tshé
丕	phi
世	sè, sì, sí
丘	khiu, khu
丙	piánn, píng
丞	sîng
丟	tiu
並	phīng, pīng
个	ê
中	tiong, tiòng, tìng, ting, tong
串	tshuàn, tshǹg
丸	uân
丹	tan
主	tsú, tsí
丼	tôm
乃	nái
久	kú, kiú
么	io
之	tsi
乍	tsànn
乎	honnh
乏	hua̍t, ha̍t
乒	phīn
乓	piàng, phōng
乖	kuai
乘	sîng, sīng
乙	it
乜	mí
九	káu, kiú
乞	khit
也	iā, ā
乩	ki
乳	jú, lú, lí, jí, jínn, gí
乾	kuann, khiân, kan
亂	luān, lān
了	liáu
予	hōo, hōng
事	sū, tāi
二	jī, lī, gī
云	ûn
互	hōo
五	gōo, ngóo
井	tsénn, tsínn, tsíng
亞	a
亡	bông
亢	khòng
交	kau, ka, kiau
亥	hāi
亦	i̍k
亨	hing
享	hiáng, hióng
京	kiann, king
亭	tîng
亮	liāng, liōng
人	lâng, jîn, lîn, n̂g, gîn
仁	jîn, lîn, lin, gîn
仃	ting
仄	tseh, tsik
仆	phak
仇	siû, kiû
今	kim, kin, tann
介	kài
仔	á, tsú, ah
仕	sū
他	thann, tha
仗	tiōng, tiāng
付	hù
仙	sian, sián, tshian, tshan
仝	kāng, kâng
仟	tshian
代	tāi, tài, tē
令	līng, lîng
以	í
仰	gióng, ióng
仲	tiōng
仵	ngóo
件	kiānn
任	jīm, līm, jîm, lîm
份	hūn, hun
仿	hóng
企	khì
伊	i, ī
伍	ngóo
伏	ho̍k
伐	hua̍h, hua̍t, huā
休	hiu
伙	hué, hé
伨	thīn
伯	peh, pit, phik, pik
估	kóo
伴	phuānn, phuān
伶	líng, lîng
伸	tshun, sin, tshng
伻	phenn
似	sāi, sū
佃	tiān
但	tān, nā, niā
佇	tī, tū
佈	pòo
位	uī
低	kē, te
住	tsū
佐	tsò
佑	iū
佔	tsiàm
何	hô, uâ
佗	tó, tá, toh, tah, tio̍h
佘	siâ
余	û
佛	hu̍t, pu̍t
作	tsok, tsoh
佟	tông
你	lí, lú
佩	puē, phuè
佬	láu, ló
佮	kah, kap
佯	tìnn, tènn
佳	ka, kai
併	pìng
使	sái, sú, saih, sài, sù, siah
來	lâi
例	lē
侍	sū, sī, sāi
侏	tsu
侖	lûn
侗	tòng
供	kiong, king, kìng
依	i
侮	bú
侯	hôo, hâu
侵	tshim
侷	kio̍k
侹	thiānn
便	piān, pân
係	hē
促	tshiok, tshik
俄	ngôo, gô
俊	tsùn
俍	lāng
俏	tshio, tshiàu
俐	lī
俗	sio̍k, siok, sio̍h
俘	hu
俚	lí
保	pó
俞	jû, lû, jî
俠	kiap
信	sìn
修	siu
俯	hú
俱	khū
俳	pai, pâi
俸	hōng
俺	án
倆	lióng
倉	tshng, tshong
個	kò, kô, kóo, kâinn
倌	kuann
倍	puē, pē
倏	suā
倒	tò, tó, tho̍h, táu
倖	hīng, sīng
候	hāu, hiō
倚	uá, í
借	tsioh, tsià
倡	tshiòng, tshiong
倦	kuān
倩	tshiànn
倪	gê
倫	lûn
倭	e
倯	sông
值	ta̍t, ti̍t
偃	ián
假	ké, ká, kà, kè
偈	khì
偉	uí
偌	guā, luā, juā
偏	phian, phinn
偓	òo
偕	kai
做	tsò, tsuè
停	thîng
偝	āinn, iāng, āng
健	kiān, kiānn
側	tshik
偵	tsing
偶	ngóo
偷	thau
偽	guī
傀	ka, khuí
傅	hū, pòo
傍	pn̄g, pōng
傑	kia̍t
傘	suànn, sàn
備	pī
催	tshui
傱	tsông
傲	ngōo
傳	thuân, thn̂g, tuān, tuân, thuînn, tn̂g
債	tsè
傷	siong, siunn, sionn
傾	khing
僆	nuā, luā
像	siōng, tshiūnn, tshiōnn
僑	kiâu
僕	po̍k
僚	liâu
僥	hiau
僧	tsing, sing
僫	oh
僭	tsiàm, tshiàm
僮	tông
僱	kòo
僵	khiong
價	kè, kà
僻	phiah
儀	gî
億	ik
儉	khiām
儑	gām
儒	jû, lû
儘	tsín, tsīn
償	siông, sióng
儡	lé
優	iu
儱	láng
儲	tû
儳	sâm, sām
儷	lē
儸	lô
儼	giám
允	ín, ún
元	guân
兄	hiann, hing
充	tshiong
兆	tiāu
兇	hiong
先	sian, sing, sin
光	kng, kong, kuinn
克	khik
兌	tuī, tuē, tuê
免	bián
兒	jî, lî
兔	thòo
兜	tau
入	ji̍p, li̍p
內	lāi, luē
全	tsuân, tsn̂g, tsuînn
兩	nn̄g, lióng, niú, nióo
八	peh, pat, pueh, pa
公	kong, kang
六	la̍k, lio̍k
共	kiōng, kāng, kā
兵	ping
其	kî
具	kū, khū
典	tián
兼	kiam
冇	phànn
冊	tsheh, tshik
再	tsài
冒	mōo
冗	līng, liōng
冠	kuan, kuàn
冤	uan
冥	bîng
冬	tang, tong
冰	ping, pin
冶	iá
冷	líng
准	tsún
凊	tshìn, tshì, tshìng
凋	tiau
凌	lîng
凍	tàng, tòng
凜	lím
凝	gîng
凡	huân, huān, hān
凰	hông
凱	khái
凶	hiong, hing
凸	tu̍t
凹	nah, neh
出	tshut
函	hâm
刀	to
刁	tiau, thiau
刃	jīm
分	hun, pun, hūn
切	tshiat, tshè, khi̍t
刊	khan
刎	bún
刐	tán, táinn
刑	hîng
划	kò
列	lia̍t
刜	phut
初	tshoo, tshe, tshue
刣	thâi
判	phuànn
別	pia̍t, pa̍t
利	lī, lāi
刪	san
刮	kuat, kueh, kuih, khe
到	kàu, tò, tàu
制	tsè
刷	suat
券	kuàn, kǹg
刺	tshì, tshiah
刻	khik
剁	tok
剃	thì, thè
則	tsik
剉	tshò
削	siah, siat
剋	khik
剌	lua̍h, la̍t
前	tsîng, tsiân, tsū, tsâinn, tsân, tsûn
剔	thik, thak
剖	phóo
剛	kong
剝	pak, pok
剩	siōng, sīng, sīn
剪	tsián
副	hù
割	kuah, kat
創	tshòng, tshong
剷	thuánn
剺	le̍h, lì
剾	khau
剿	tsâu
劃	ue̍h, uē, ui̍h, i̍k
劇	kio̍k, ki̍k
劈	phik
劉	lâu
劌	kuì
劍	kiàm
劑	tse, tsè
力	li̍k, la̍t, lí
功	kong, kang
加	ka, ke
劣	lua̍t
助	tsōo
努	lóo
劫	kiap
勁	kīng, kìng
勃	pu̍t
勇	ióng
勉	bián
勍	khiang
勒	li̍k, lik
動	tōng, tāng, thām
勘	kham, khàm
務	bū
勝	sìng, sing
勞	lô, lō, lóo, lôo
募	bōo
勢	sè, sì
勤	khîn, khûn
勥	khiàng
勳	hun
勵	lē
勸	khǹg, khuàn, khuìnn
勺	sia̍h
勻	ûn, iân
勼	kiu
勾	kau
勿	bu̍t
包	pau, pâu
匆	tshong
匏	pû
化	huà, hua
北	pak, pok
匙	sî
匠	tshiūnn, tshiōnn
匡	khong
匪	huí
匯	huē, huê
匹	phit
匼	khap
匾	pián
匿	li̍k
區	khu, oo
十	tsa̍p, si̍p
千	tshian, tshing
升	sing, tsin
午	ngóo, gōo
半	puànn, puàn, piàn
卌	siap
卑	pi
卒	tsut
卓	toh, tok
協	hia̍p, ha̍h
南	lâm
博	phok
卜	pok, poh
占	tsiàm, tsiam
卡	khah, kha̍h, khá
卦	kuà
卯	mauh, báu
印	ìn
危	guî, uî, huî, luî
即	tsik
卵	nn̄g, nuī, luán
卷	kńg, kǹg, kuàn, kuínn
卸	sià
卹	sut
卻	khiok
卿	khing
厄	eh
厘	lî
厚	kāu, hōo, hiō
厝	tshù
原	guân, uân
厭	ià, iàn
厲	lī, lē
去	khì, khù
參	tsham, som, sim, sam, song
又	iū
叉	tshe
及	ki̍p
友	iú
反	huán, píng, páinn, puínn, pán
叔	tsik, siok
取	tshú
受	siū, siūnn
叛	puān
叡	juē, luē
叢	tsông, tsâng
口	kháu, khió, káu
古	kóo
句	kù
另	līng
叨	lo, tho, lu
叩	khàu, khiò
只	tsí
叫	kiò
召	tiàu
叭	pah
叮	ting, tìng
可	khó, khóo, khónn, khuá, khoo
台	tâi
叱	tshit, tshi̍h
史	sú, sái
右	iū
司	si, su, sai
各	kok, koh
合	ha̍p, ha̍h, kap, kah
吉	kiat, jì
吊	tiàu
吋	tshùn
同	tông, tâng
名	miâ, bîng
后	hiō, hōo, āu
吏	lī
吐	thóo, thòo
向	hiòng, ànn, hiànn, hiàng, ǹg
吒	tshia
君	kun
吝	līn
吞	thun
吟	gîm
吠	puī, huī
否	hónn, hóo, phí
吧	pa
吩	huan, hun
吪	o, ô
含	kâm, hâm, kânn
吭	khōng, khngh
吮	tshńg, tsuīnn, tsn̄g
吱	ki
吳	ngôo, gôo
吵	tshá, tsháu
吶	nā
吸	khip, khi̍p, hiap
吹	tshue, tshe, tshui
吻	bún
吼	háu, ha̍unnh
吾	ngôo
呂	lī, lū
呃	eh, è
呆	tai
呈	thîng, tîng
告	kò
呔	thài, thah
呢	neh, ne, ni, nî, nih, ní
呧	ti
周	tsiu
呱	kuā, kua̍k, kua̍t, kop
呲	tshū
味	bī
呴	ku
呵	o, ha
呸	phuì
呺	hau
呻	tshan, sin
呼	hoo, khoo, honn
命	miā, bīng
呾	tànn
呿	khuh
咁	kām
咂	tsa̍p
咇	phi̍h
和	hô, huê, hām, hō, hê, hâm
咍	hai
咎	kiū
咐	hù
咑	tā, tah
咒	tsiù
咕	kū, koo, kú
咖	ka
咧	leh, teh, tih, lih, lê
咩	meh
咪	bî, mi, bi, mî, bi̋
咫	tsí
咬	kā, ngáu
咯	ko̍k, kha̍k, kok, lo̍k
咱	lán, tsa
咳	ka, kha
咸	hâm
咻	hiu
咽	ian
咾	ló
哀	ai
品	phín
哈	ha, hah, hā, ha̍h
哉	tsài, tsai
哎	aih, ai
哖	nî
員	uân, guân, înn
哥	ko, koh
哦	ōnn, ónn
哨	sàu, siàu
哩	li, lí, lih, mai
哪	ná, nà, lô
哭	khàu
哮	hàu
哱	phū
哲	tiat, thiat
哹	pu
哺	pōo, ko, koo
哼	hainn, hngh, hmh
哽	kénn, kínn, kê
唅	hannh
唆	so, sō
唇	tûn, sûn
唉	haih
唌	siânn
唏	hì
唐	tông, tn̂g
唔	onn
唚	tsim
唧	tsik
唬	hóo
售	siū
唯	uî, bī, bî
唱	tshiùnn, tshiàng, tshiònn, tshiòng
唷	ioh
唸	liām
唾	thò
唿	hut
啄	tok, teh
商	siong
啉	lim
啊	ah, a
問	mn̄g, būn, muī
啖	tām, tam
啞	é, énn, á
啟	khé
啡	pi
啤	pî
啥	siánn, sánn, siannh, sannh
啦	lah
